Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
150495 Nova Esperança do Piriá;32;32;32;32;32;32;32;32;32;32
150497 Nova Ipixuna;13;13;13;13;13;13;13;14;14;14
150503 Novo Progresso;42;42;42;42;42;42;42;42;42;42
150506 Novo Repartimento;54;54;54;54;54;54;54;54;54;54
150510 Óbidos;65;65;65;65;65;65;65;65;65;65
150520 Oeiras do Pará;15;15;15;15;15;15;15;15;15;15
150530 Oriximiná;89;89;89;89;89;89;133;133;133;133
150540 Ourém;24;24;24;24;24;24;24;24;24;24
150543 Ourilândia do Norte;67;67;67;67;67;67;67;67;67;67
150548 Pacajá;37;37;37;37;37;37;37;37;37;37
150549 Palestina do Pará;20;20;20;20;20;20;20;20;20;20
150550 Paragominas;176;176;176;176;176;196;212;212;212;212
150553 Parauapebas;305;305;305;305;345;440;440;440;428;428
150555 Pau D'Arco;22;22;22;22;22;22;22;22;22;22
150563 Piçarra;20;20;20;20;20;20;20;20;20;20
150565 Placas;29;29;29;29;29;29;29;29;29;29
150570 Ponta de Pedras;20;20;20;20;20;20;30;30;30;30
150580 Portel;29;29;29;29;29;29;29;29;29;29
150590 Porto de Moz;49;49;49;49;49;49;49;49;49;49
150600 Prainha;20;20;20;25;31;31;31;31;31;31
150613 Redenção;278;278;278;278;278;278;278;278;278;278
150616 Rio Maria;54;54;56;56;56;56;56;56;56;56
150618 Rondon do Pará;101;101;101;101;101;101;101;101;101;101
150619 Rurópolis;27;27;27;27;27;27;27;27;27;27
150620 Salinópolis;47;47;47;47;72;72;72;72;72;72
150630 Salvaterra;19;19;19;19;19;19;19;19;19;19
150640 Santa Cruz do Arari;15;15;15;15;15;15;15;15;15;15
150650 Santa Izabel do Pará;60;60;60;60;60;60;60;60;60;60
150655 Santa Luzia do Pará;16;16;16;16;16;16;16;16;-;-
150658 Santa Maria das Barreiras;23;23;23;23;23;23;23;23;23;23
150660 Santa Maria do Pará;37;37;37;37;37;37;37;37;37;37
150670 Santana do Araguaia;63;63;63;63;63;63;63;63;63;63
150680 Santarém;471;471;471;555;544;544;544;544;554;554
150700 Santo Antônio do Tauá;76;76;76;76;76;76;76;76;76;76
150710 São Caetano de Odivelas;20;20;20;20;20;20;20;20;20;20
150715 São Domingos do Araguaia;21;21;21;21;21;21;21;21;21;21
150720 São Domingos do Capim;31;31;31;31;31;31;31;31;31;31
150730 São Félix do Xingu;145;145;145;145;145;145;145;145;145;145
150745 São Geraldo do Araguaia;41;41;41;41;41;41;41;41;41;41
150747 São João de Pirabas;24;24;24;24;24;24;24;24;24;24
150750 São João do Araguaia;19;19;19;19;19;19;19;19;19;19
150760 São Miguel do Guamá;54;54;54;54;54;54;54;54;54;54
150770 São Sebastião da Boa Vista;32;32;32;32;32;32;32;32;32;32
150775 Sapucaia;11;11;11;11;14;14;14;14;14;14
150780 Senador José Porfírio;15;15;15;15;15;19;19;19;19;19
150790 Soure;48;48;48;48;48;48;48;48;48;48
150795 Tailândia;40;40;40;50;50;50;40;40;40;40
150797 Terra Santa;21;21;21;25;25;25;25;25;25;25
150800 Tomé-Açu;171;171;171;171;171;171;171;171;171;171
150803 Tracuateua;15;15;15;15;15;15;15;15;15;15
150805 Trairão;21;21;21;21;21;21;21;21;21;21
150808 Tucumã;99;99;99;99;99;99;99;99;99;99
150810 Tucuruí;286;286;286;286;286;286;286;286;286;286
150812 Ulianópolis;89;89;89;115;115;115;115;115;115;115
150815 Uruará;61;61;61;81;81;81;81;81;81;81
150820 Vigia;35;35;35;35;30;30;30;30;37;37
150830 Viseu;65;65;65;65;65;65;65;65;65;65
150835 Vitória do Xingu;31;31;31;31;47;47;47;47;47;47
150840 Xinguara;133;133;133;139;139;139;139;139;139;139
160010 Amapá;37;37;37;37;37;37;37;37;37;37
160020 Calçoene;20;20;20;20;20;20;38;38;38;38
160023 Ferreira Gomes;12;12;12;12;12;12;12;12;12;12
160027 Laranjal do Jari;58;58;58;70;70;70;70;70;70;70
160030 Macapá;710;716;728;787;878;828;893;818;798;770
160040 Mazagão;14;14;14;14;14;14;14;14;14;14
160050 Oiapoque;41;41;41;41;41;41;41;41;41;41
160015 Pedra Branca do Amapari;15;15;15;15;15;15;15;15;15;15
160053 Porto Grande;34;34;34;34;34;34;34;34;34;34
160060 Santana;95;95;95;95;139;139;139;139;139;95
160005 Serra do Navio;30;30;30;30;30;30;30;30;30;30
160070 Tartarugalzinho;18;18;18;18;18;18;18;18;18;18
160080 Vitória do Jari;8;8;8;8;8;8;8;8;8;8
170070 Alvorada;23;23;23;23;23;23;23;23;23;23
170100 Ananás;14;14;14;14;14;14;14;14;14;14
170190 Araguacema;17;17;17;17;17;17;17;17;17;17
170200 Araguaçu;27;27;27;27;27;27;27;27;27;27
170210 Araguaína;589;589;589;589;606;599;589;591;591;591
170220 Araguatins;25;25;25;25;25;25;25;25;25;25
170230 Arapoema;28;28;28;28;28;28;28;28;28;28
170240 Arraias;33;33;33;33;33;33;33;33;33;33
170255 Augustinópolis;93;93;93;93;93;93;93;82;82;82
170370 Brejinho de Nazaré;5;5;5;5;5;5;5;5;5;5
170550 Colinas do Tocantins;69;69;69;69;69;69;69;69;69;69
171670 Colméia;21;21;21;21;21;21;21;21;21;21
170610 Cristalândia;7;7;7;7;7;7;7;7;7;7
170700 Dianópolis;-;39;39;39;39;39;39;39;39;39
170710 Divinópolis do Tocantins;15;15;15;15;15;15;15;15;15;15
170720 Dois Irmãos do Tocantins;9;9;9;9;9;9;9;9;9;9
170730 Dueré;12;12;12;12;14;14;14;14;14;14
170765 Figueirópolis;5;5;5;5;5;5;5;5;5;5
170820 Formoso do Araguaia;40;40;40;40;40;40;40;40;40;40
170900 Goiatins;10;10;10;10;10;15;15;15;15;15
170930 Guaraí;57;57;57;57;57;57;57;57;57;57
170950 Gurupi;237;237;237;237;168;168;168;189;189;189
171050 Itacajá;27;27;27;27;27;27;27;27;27;27
171190 Lagoa da Confusão;30;30;30;30;30;30;30;30;30;30
171320 Miracema do Tocantins;69;69;69;69;69;69;69;69;69;69
171330 Miranorte;20;20;20;20;20;20;20;20;20;20
171360 Monte do Carmo;5;5;5;5;5;5;5;5;5;5
171420 Natividade;9;9;9;9;9;9;9;9;9;9
172100 Palmas;976;956;976;976;960;976;984;1007;1006;925
171575 Palmeirópolis;24;24;24;24;24;24;24;24;24;24
171610 Paraíso do Tocantins;131;131;131;131;131;131;131;131;131;131
171620 Paranã;24;24;24;24;24;24;24;24;24;24
171650 Pedro Afonso;31;31;31;31;31;31;31;31;31;31
171660 Peixe;46;46;46;46;46;46;19;19;19;19
171700 Pindorama do Tocantins;6;6;6;6;6;6;6;6;6;6
171750 Pium;5;5;5;5;5;5;5;5;5;5
171790 Ponte Alta do Tocantins;7;7;7;7;7;7;7;7;7;7
171820 Porto Nacional;173;173;173;173;173;151;151;151;151;151
172065 Silvanópolis;19;19;19;19;19;19;19;19;19;19
172090 Taguatinga;47;47;47;47;47;47;47;47;47;47
172120 Tocantinópolis;40;40;40;40;40;38;38;38;38;38
172210 Xambioá;28;28;28;28;28;28;28;28;28;28
210005 Açailândia;243;243;243;243;296;296;296;296;296;296
210010 Afonso Cunha;20;20;20;20;20;20;20;20;20;20
210020 Alcântara;24;24;24;24;24;24;24;24;24;24
210030 Aldeias Altas;25;25;25;25;25;25;25;25;25;25
